file	i	exclusion	experiment	upper.Z	lower.Z	max.distance	expe.exclu	expe.exclu.i	cluster
4Cin_0kba/model_E12_PFL_delCTCFs_onTDOM/wd/HoxD/HoxD_final_output_0.1_-0.1_14000/vhic_HoxD.txt	a	0	E12_PFL_delCTCFs	0.1	-0.1	14000	E12_PFL_delCTCFs_0	E12_PFL_delCTCFs_0_a	1
4Cin_0kbb/model_E12_PFL_delCTCFs_onTDOM/wd/HoxD/HoxD_final_output_0.1_-0.1_14000/vhic_HoxD.txt	b	0	E12_PFL_delCTCFs	0.1	-0.1	14000	E12_PFL_delCTCFs_0	E12_PFL_delCTCFs_0_b	1
4Cin_0kbc/model_E12_PFL_delCTCFs_onTDOM/wd/HoxD/HoxD_final_output_0.2_-0.2_14000/vhic_HoxD.txt	c	0	E12_PFL_delCTCFs	0.2	-0.2	14000	E12_PFL_delCTCFs_0	E12_PFL_delCTCFs_0_c	1
4Cin_0kbd/model_E12_PFL_delCTCFs_onTDOM/wd/HoxD/HoxD_final_output_0.1_-0.1_15000/vhic_HoxD.txt	d	0	E12_PFL_delCTCFs	0.1	-0.1	15000	E12_PFL_delCTCFs_0	E12_PFL_delCTCFs_0_d	1
4Cin_0kbe/model_E12_PFL_delCTCFs_onTDOM/wd/HoxD/HoxD_final_output_0.2_-0.1_14000/vhic_HoxD.txt	e	0	E12_PFL_delCTCFs	0.2	-0.1	14000	E12_PFL_delCTCFs_0	E12_PFL_delCTCFs_0_e	1
4Cin_1kba/model_E12_PFL_delCTCFs_onTDOM/wd/HoxD/HoxD_final_output_0.2_-0.1_14000/vhic_HoxD.txt	a	1	E12_PFL_delCTCFs	0.2	-0.1	14000	E12_PFL_delCTCFs_1	E12_PFL_delCTCFs_1_a	1
4Cin_1kbb/model_E12_PFL_delCTCFs_onTDOM/wd/HoxD/HoxD_final_output_0.2_-0.2_14000/vhic_HoxD.txt	b	1	E12_PFL_delCTCFs	0.2	-0.2	14000	E12_PFL_delCTCFs_1	E12_PFL_delCTCFs_1_b	1
4Cin_1kbc/model_E12_PFL_delCTCFs_onTDOM/wd/HoxD/HoxD_final_output_0.1_-0.1_14000/vhic_HoxD.txt	c	1	E12_PFL_delCTCFs	0.1	-0.1	14000	E12_PFL_delCTCFs_1	E12_PFL_delCTCFs_1_c	1
4Cin_1kbd/model_E12_PFL_delCTCFs_onTDOM/wd/HoxD/HoxD_final_output_0.1_-0.1_14000/vhic_HoxD.txt	d	1	E12_PFL_delCTCFs	0.1	-0.1	14000	E12_PFL_delCTCFs_1	E12_PFL_delCTCFs_1_d	1
4Cin_1kbe/model_E12_PFL_delCTCFs_onTDOM/wd/HoxD/HoxD_final_output_0.1_-0.2_14000/vhic_HoxD.txt	e	1	E12_PFL_delCTCFs	0.1	-0.2	14000	E12_PFL_delCTCFs_1	E12_PFL_delCTCFs_1_e	1
4Cin_2kba/model_E12_PFL_delCTCFs_onTDOM/wd/HoxD/HoxD_final_output_0.1_-0.3_15000/vhic_HoxD.txt	a	2	E12_PFL_delCTCFs	0.1	-0.3	15000	E12_PFL_delCTCFs_2	E12_PFL_delCTCFs_2_a	2
4Cin_2kbb/model_E12_PFL_delCTCFs_onTDOM/wd/HoxD/HoxD_final_output_0.2_-0.1_15000/vhic_HoxD.txt	b	2	E12_PFL_delCTCFs	0.2	-0.1	15000	E12_PFL_delCTCFs_2	E12_PFL_delCTCFs_2_b	2
4Cin_2kbc/model_E12_PFL_delCTCFs_onTDOM/wd/HoxD/HoxD_final_output_0.1_-0.1_15000/vhic_HoxD.txt	c	2	E12_PFL_delCTCFs	0.1	-0.1	15000	E12_PFL_delCTCFs_2	E12_PFL_delCTCFs_2_c	2
4Cin_2kbd/model_E12_PFL_delCTCFs_onTDOM/wd/HoxD/HoxD_final_output_0.2_-0.1_15000/vhic_HoxD.txt	d	2	E12_PFL_delCTCFs	0.2	-0.1	15000	E12_PFL_delCTCFs_2	E12_PFL_delCTCFs_2_d	2
4Cin_2kbe/model_E12_PFL_delCTCFs_onTDOM/wd/HoxD/HoxD_final_output_0.1_-0.2_15000/vhic_HoxD.txt	e	2	E12_PFL_delCTCFs	0.1	-0.2	15000	E12_PFL_delCTCFs_2	E12_PFL_delCTCFs_2_e	2
4Cin_3kba/model_E12_PFL_delCTCFs_onTDOM/wd/HoxD/HoxD_final_output_0.1_-0.1_15000/vhic_HoxD.txt	a	3	E12_PFL_delCTCFs	0.1	-0.1	15000	E12_PFL_delCTCFs_3	E12_PFL_delCTCFs_3_a	2
4Cin_3kbb/model_E12_PFL_delCTCFs_onTDOM/wd/HoxD/HoxD_final_output_0.2_-0.1_15000/vhic_HoxD.txt	b	3	E12_PFL_delCTCFs	0.2	-0.1	15000	E12_PFL_delCTCFs_3	E12_PFL_delCTCFs_3_b	2
4Cin_3kbc/model_E12_PFL_delCTCFs_onTDOM/wd/HoxD/HoxD_final_output_0.2_-0.1_15000/vhic_HoxD.txt	c	3	E12_PFL_delCTCFs	0.2	-0.1	15000	E12_PFL_delCTCFs_3	E12_PFL_delCTCFs_3_c	2
4Cin_3kbd/model_E12_PFL_delCTCFs_onTDOM/wd/HoxD/HoxD_final_output_0.1_-0.1_15000/vhic_HoxD.txt	d	3	E12_PFL_delCTCFs	0.1	-0.1	15000	E12_PFL_delCTCFs_3	E12_PFL_delCTCFs_3_d	2
4Cin_3kbe/model_E12_PFL_delCTCFs_onTDOM/wd/HoxD/HoxD_final_output_0.1_-0.1_15000/vhic_HoxD.txt	e	3	E12_PFL_delCTCFs	0.1	-0.1	15000	E12_PFL_delCTCFs_3	E12_PFL_delCTCFs_3_e	2
4Cin_0kba/model_E12_PFL_invTDOM_onTDOM/wd/HoxD/HoxD_final_output_0.2_-0.3_14000/vhic_HoxD.txt	a	0	E12_PFL_invTDOM	0.2	-0.3	14000	E12_PFL_invTDOM_0	E12_PFL_invTDOM_0_a	1
4Cin_0kbb/model_E12_PFL_invTDOM_onTDOM/wd/HoxD/HoxD_final_output_0.1_-0.3_14000/vhic_HoxD.txt	b	0	E12_PFL_invTDOM	0.1	-0.3	14000	E12_PFL_invTDOM_0	E12_PFL_invTDOM_0_b	1
4Cin_0kbc/model_E12_PFL_invTDOM_onTDOM/wd/HoxD/HoxD_final_output_0.1_-0.2_14000/vhic_HoxD.txt	c	0	E12_PFL_invTDOM	0.1	-0.2	14000	E12_PFL_invTDOM_0	E12_PFL_invTDOM_0_c	1
4Cin_0kbd/model_E12_PFL_invTDOM_onTDOM/wd/HoxD/HoxD_final_output_0.1_-0.3_14000/vhic_HoxD.txt	d	0	E12_PFL_invTDOM	0.1	-0.3	14000	E12_PFL_invTDOM_0	E12_PFL_invTDOM_0_d	1
4Cin_0kbe/model_E12_PFL_invTDOM_onTDOM/wd/HoxD/HoxD_final_output_0.1_-0.3_14000/vhic_HoxD.txt	e	0	E12_PFL_invTDOM	0.1	-0.3	14000	E12_PFL_invTDOM_0	E12_PFL_invTDOM_0_e	1
