cluster1	cluster2	mean	experiment
1	2	0.93850437816411	E12_PFL_delCTCFs
1	2	0.932214338038895	E12_PFL_invTDOMdelBd
1	3	0.940489880966642	E12_PFL_invTDOMdelBd
2	3	0.888547153678036	E12_PFL_invTDOMdelBd
1	2	0.829707186051369	E12_PFL_wt
1	2	0.89248903318802	E9_FLB_delCS3840
1	3	0.84426328148607	E9_FLB_delCS3840
2	3	0.936547426206671	E9_FLB_delCS3840
1	2	0.904517592355625	E9_FLB_invCS3840
1	3	0.736634167519711	E9_FLB_invCS3840
1	4	0.850517372716612	E9_FLB_invCS3840
2	3	0.872006836080833	E9_FLB_invCS3840
2	4	0.917651778364454	E9_FLB_invCS3840
3	4	0.867053894234481	E9_FLB_invCS3840
1	2	0.881186063494466	E9_FLB_invTDOM
1	2	0.911771541121531	E9_FLB_wt_like_delCS3840
1	2	0.905964678480339	E9_FLB_wt_like_invTDOM
