Sample1	Sample2	Viewpoint	Region	Sum_sample1	Sum_sample2	Ratio
E9_FLB_delCS3840	E9_FLB_wt	Hoxd11	ELCR2	49.7853846153846	48.7407692307692	102.14
E9_FLB_delCS3840	E9_FLB_wt	Hoxd11	ELCR3	44.158461538461474	29.318461538461555	150.62
E9_FLB_delCS3840	E9_FLB_wt	Hoxd11	CS93	74.34923076923076	114.09461538461541	65.16
E9_FLB_delCS3840	E9_FLB_wt	Hoxd11	CS65	71.85	88.44461538461536	81.24
E9_FLB_delCS3840	E9_FLB_wt	Hoxd9	ELCR2	76.87153846153832	106.74461538461537	72.01
E9_FLB_delCS3840	E9_FLB_wt	Hoxd9	ELCR3	87.19307692307689	74.5938461538461	116.89
E9_FLB_delCS3840	E9_FLB_wt	Hoxd9	CS93	162.36307692307685	201.79230769230762	80.46
E9_FLB_delCS3840	E9_FLB_wt	Hoxd9	CS65	145.87076923076953	109.2669230769231	133.5
E9_FLB_delCS3840	E9_FLB_wt	Hoxd4	ELCR2	118.52769230769233	103.52230769230769	114.49
E9_FLB_delCS3840	E9_FLB_wt	Hoxd4	ELCR3	102.13923076923074	106.08923076923074	96.28
E9_FLB_delCS3840	E9_FLB_wt	Hoxd4	CS93	138.42923076923051	85.3530769230768	162.18
E9_FLB_delCS3840	E9_FLB_wt	Hoxd4	CS65	76.06846153846149	66.18692307692308	114.93
E9_FLB_invCS3840	E9_FLB_wt	Hoxd13	ELCR2	30.785384615384615	36.63692307692305	84.03
E9_FLB_invCS3840	E9_FLB_wt	Hoxd13	ELCR3	28.90384615384616	39.84999999999997	72.53
E9_FLB_invCS3840	E9_FLB_wt	Hoxd13	CS39	87.9053846153846	185.15538461538523	47.48
E9_FLB_invCS3840	E9_FLB_wt	Hoxd13	CS93	26.173076923076916	45.56999999999999	57.43
E9_FLB_invCS3840	E9_FLB_wt	Hoxd13	CS65	27.353076923076905	50.86692307692302	53.77
E9_FLB_invCS3840	E9_FLB_wt	Hoxd11	ELCR2	47.49846153846153	48.7407692307692	97.45
E9_FLB_invCS3840	E9_FLB_wt	Hoxd11	ELCR3	52.2423076923077	29.318461538461555	178.19
E9_FLB_invCS3840	E9_FLB_wt	Hoxd11	CS39	146.18384615384628	305.0107692307691	47.93
E9_FLB_invCS3840	E9_FLB_wt	Hoxd11	CS93	56.150000000000034	114.09461538461541	49.21
E9_FLB_invCS3840	E9_FLB_wt	Hoxd11	CS65	43.84769230769236	88.44461538461536	49.58
E9_FLB_invCS3840	E9_FLB_wt	Hoxd9	ELCR2	103.75230769230771	106.74461538461537	97.2
E9_FLB_invCS3840	E9_FLB_wt	Hoxd9	ELCR3	99.28384615384611	74.5938461538461	133.1
E9_FLB_invCS3840	E9_FLB_wt	Hoxd9	CS39	377.4023076923077	564.2923076923079	66.88
E9_FLB_invCS3840	E9_FLB_wt	Hoxd9	CS93	111.97153846153846	201.79230769230762	55.49
E9_FLB_invCS3840	E9_FLB_wt	Hoxd9	CS65	130.1576923076923	109.2669230769231	119.12
E9_FLB_invCS3840	E9_FLB_wt	Hoxd4	ELCR2	152.47307692307703	103.52230769230769	147.29
E9_FLB_invCS3840	E9_FLB_wt	Hoxd4	ELCR3	105.90615384615383	106.08923076923074	99.83
